Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,Publication Stage,Source,first_author,corr_auth,abstract
Chen H.; Moore T.; Qi B.; Colvin D.C.; Jelen E.K.; Hitchcock D.A.; He J.; Mefford O.T.; Gore J.C.; Alexis F.; Anker J.N.,"Chen, Hongyu (37033463000); Moore, Thomas (36542652400); Qi, Bin (55249569800); Colvin, Daniel C. (16174182800); Jelen, Erika K. (59366326200); Hitchcock, Dale A. (36198143800); He, Jian (8704753900); Mefford, O. Thompson (13104879300); Gore, John C. (7202242633); Alexis, Frank (55893790300); Anker, Jeffrey N. (6701869998)",37033463000; 36542652400; 55249569800; 16174182800; 59366326200; 36198143800; 8704753900; 13104879300; 7202242633; 55893790300; 6701869998,Monitoring pH-triggered drug release from radioluminescent nanocapsules with X-ray excited optical luminescence,2013,ACS Nano,7,2,,1178,1187,9,109,10.1021/nn304369m,Article,Final,Scopus,1,0,"One of the greatest challenges in cancer therapy is to develop methods to deliver chemotherapy agents to tumor cells while reducing systemic toxicity to noncancerous cells. A promising approach to localizing drug release is to employ drug-loaded nanoparticles with coatings that release the drugs only in the presence of specific triggers found in the target cells such as pH, enzymes, or light. However, many parameters affect the nanoparticle distribution and drug release rate, and it is difficult to quantify drug release in situ. In this work, we show proof-of-principle for a “smart” radioluminescent nanocapsule with an X-ray excited optical luminescence (XEOL) spectrum that changes during release of the optically absorbing chemotherapy drug, doxorubicin. XEOL provides an almost background-free luminescent signal for measuring drug release from particles irradiated by a narrow X-ray beam. We study in vitro pH-triggered release rates of doxorubicin from nanocapsules coated with a pH-responsive polyelectrolyte multilayer using HPLC and XEOL spectroscopy. The doxorubicin was loaded to over 5% by weight and released from the capsule with a time constant in vitro of ∼36 days at pH 7.4 and 21 h at pH 5.0, respectively. The Gd2O2S:Eu nanocapsules are also paramagnetic at room temperature with similar magnetic susceptibility and similarly good MRI T2 relaxivities to Gd2O3, but the sulfur increases the radioluminescence intensity and shifts the spectrum. Empty nanocapsules did not affect cell viability up to concentrations of at least 250 μg/mL. These empty nanocapsules accumulated in a mouse liver and spleen following tail vein injection and could be observed in vivo using XEOL. The particles are synthesized with a versatile template synthesis technique which allows for control of particle size and shape. The XEOL analysis technique opens the door to noninvasive quantification of drug release as a function of nanoparticle size, shape, surface chemistry, and tissue type."
Podila R.; Moore T.; Alexis F.; Rao A.M.,"Podila, Ramakrishna (35194474800); Moore, Thomas (36542652400); Alexis, Frank (55893790300); Rao, Apparao M. (7404473577)",35194474800; 36542652400; 55893790300; 7404473577,Graphene coatings for enhanced hemo-compatibility of nitinol stents,2013,RSC Advances,3,6,,1660,1665,5,75,10.1039/c2ra23073a,Article,Final,Scopus,0,0,"In this study, we used graphene, a one-atom thick sheet of carbon atoms, to modify the surfaces of existing implant materials to enhance both bio- and hemo-compatibility. This novel effort meets all functional criteria for a biomedical implant coating as it is chemically inert, atomically smooth and highly durable, with the potential for greatly enhancing the effectiveness of such implants. Specifically, graphene coatings on nitinol, a widely used implant and stent material, showed that graphene coated nitinol (Gr–NiTi) supports excellent smooth muscle and endothelial cell growth leading to better cell proliferation. The authors further determined that the serum albumin adsorption on Gr–NiTi is greater than that of fibrinogen, which is an important and well understood criterion for promoting a lower thrombosis rate. These hemo- and biocompatible properties, along with high strength, chemical inertness and durability provide graphene with an edge over most antithrombogenic coatings for biomedical implants and devices."
Moore T.L.; Cook A.B.; Bellotti E.; Palomba R.; Manghnani P.; Spanò R.; Brahmachari S.; Di Francesco M.; Palange A.L.; Di Mascolo D.; Decuzzi P.,"Moore, Thomas L. (36542652400); Cook, Alexander B. (57183574900); Bellotti, Elena (57014761800); Palomba, Roberto (56400658900); Manghnani, Purnima (57191442081); Spanò, Raffaele (55882228300); Brahmachari, Sayanti (36631403100); Di Francesco, Martina (56800385300); Palange, Anna Lisa (55991000900); Di Mascolo, Daniele (55217626900); Decuzzi, Paolo (56884263000)",36542652400; 57183574900; 57014761800; 56400658900; 57191442081; 55882228300; 36631403100; 56800385300; 55991000900; 55217626900; 56884263000,"Correction: Shape-specific microfabricated particles for biomedical applications: a review (Drug Delivery and Translational Research, (2022), 12, 8, (2019-2037), 10.1007/s13346-022-01143-4)",2022,Drug Delivery and Translational Research,12,8,,2038,,,0,10.1007/s13346-022-01180-z,Erratum,Final,Scopus,1,1,
Moore T.; Chen H.; Morrison R.; Wang F.; Anker J.N.; Alexis F.,"Moore, Thomas (36542652400); Chen, Hongyu (37033463000); Morrison, Rachel (57213771525); Wang, Fenglin (55990825900); Anker, Jeffrey N. (6701869998); Alexis, Frank (55893790300)",36542652400; 37033463000; 57213771525; 55990825900; 6701869998; 55893790300,Nanotechnologies for noninvasive measurement of drug release,2014,Molecular Pharmaceutics,11,1,,24,39,15,41,10.1021/mp400419k,Review,Final,Scopus,1,0,"A wide variety of chemotherapy and radiotherapy agents are available for treating cancer, but a critical challenge is to deliver these agents locally to cancer cells and tumors while minimizing side effects from systemic delivery. Nanomedicine uses nanoparticles with diameters in the range of ∼1–100 nm to encapsulate drugs and target them to tumors. The nanoparticle enhances local drug delivery efficiency to the tumors via entrapment in leaky tumor vasculature, molecular targeting to cells expressing cancer biomarkers, and/or magnetic targeting. In addition, the localization can be enhanced using triggered release in tumors via chemical, thermal, or optical signals. In order to optimize these nanoparticle drug delivery strategies, it is important to be able to image where the nanoparticles distribute and how rapidly they release their drug payloads. This Review aims to evaluate the current state of nanotechnology platforms for cancer theranostics (therapeutic and diagnostic particles) that are capable of noninvasive measurement of release kinetics."
Lusi V.; Moore T.L.; Laurino F.; Coclite A.; Perreira R.; Ferreira M.; Rizzuti I.; Palomba R.; Zunino P.; Duocastella M.; Mizrahy S.; Peer D.; Decuzzi P.,"Lusi, Valeria (57208178593); Moore, Thomas L. (36542652400); Laurino, Federica (57202963219); Coclite, Alessandro (56205042400); Perreira, Rui (56725881400); Ferreira, Miguel (35483645000); Rizzuti, Ilaria (57194728912); Palomba, Roberto (56400658900); Zunino, Paolo (18839699700); Duocastella, Marti (13607167700); Mizrahy, Shoshy (54393559000); Peer, Dan (13610740700); Decuzzi, Paolo (56884263000)",57208178593; 36542652400; 57202963219; 56205042400; 56725881400; 35483645000; 57194728912; 56400658900; 18839699700; 13607167700; 54393559000; 13610740700; 56884263000,A tissue chamber chip for assessing nanoparticle mobility in the extravascular space,2019,Biomedical Microdevices,21,2,41,,,,4,10.1007/s10544-019-0398-5,Article,Final,Scopus,0,0,"Although a plethora of nanoparticle configurations have been proposed over the past 10 years, the uniform and deep penetration of systemically injected nanomedicines into the diseased tissue stays as a major biological barrier. Here, a ‘Tissue Chamber’ chip is designed and fabricated to study the extravascular transport of small molecules and nanoparticles. The chamber comprises a collagen slab, deposited within a PDMS mold, and an 800 μm channel for the injection of the working solution. Through fluorescent microscopy, the dynamics of molecules and nanoparticles was estimated within the gel, under different operating conditions. Diffusion coefficients were derived from the analysis of the particle mean square displacements (MSD). For validating the experimental apparatus and the protocol for data analysis, the diffusion D of FITC-Dextran molecules of 4, 40 and 250 kDa was first quantified. As expected, D reduces with the molecular weight of the dextran molecules. The MSD-derived diffusion coefficients were in good agreement with values derived via fluorescence recovery after photobleaching (FRAP), an alternative technique that solely applies to small molecules. Then, the transport of six nanoparticles with similar hydrodynamic diameters (~ 200 nm) and different surface chemistries was quantified. Surface PEGylation was confirmed to favor the diffusion of nanoparticles within the collagen slab, whereas the surface decoration with hyaluronic acid (HA) chains reduced nanoparticle mobility in a way proportional to the HA molecular weight. To assess further the generality of the proposed approach, the diffusion of the six nanoparticles was also tested in freshly excised brain tissue slices. In these ex vivo experiments, the diffusion coefficients were 5-orders of magnitude smaller than for the Tissue Chamber chip. This was mostly ascribed to the lack of a cellular component in the chip. However, the trends documented for PEGylated and HA-coated nanoparticles in vitro were also confirmed ex vivo. This work demonstrates that the Tissue Chamber chip can be employed to effectively and efficiently test the extravascular transport of nanomedicines while minimizing the use of animals."
Di Francesco V.; Boso D.P.; Moore T.L.; Schrefler B.A.; Decuzzi P.,"Di Francesco, Valentina (57214237067); Boso, Daniela P. (9737551500); Moore, Thomas L. (36542652400); Schrefler, Bernhard A. (7006209463); Decuzzi, Paolo (56884263000)",57214237067; 9737551500; 36542652400; 7006209463; 56884263000,Machine learning instructed microfluidic synthesis of curcumin-loaded liposomes,2023,Biomedical Microdevices,25,3,29,,,,11,10.1007/s10544-023-00671-1,Article,Final,Scopus,1,0,"The association of machine learning (ML) tools with the synthesis of nanoparticles has the potential to streamline the development of more efficient and effective nanomedicines. The continuous-flow synthesis of nanoparticles via microfluidics represents an ideal playground for ML tools, where multiple engineering parameters – flow rates and mixing configurations, type and concentrations of the reagents – contribute in a non-trivial fashion to determine the resultant morphological and pharmacological attributes of nanomedicines. Here we present the application of ML models towards the microfluidic-based synthesis of liposomes loaded with a model hydrophobic therapeutic agent, curcumin. After generating over 200 different liposome configurations by systematically modulating flow rates, lipid concentrations, organic:water mixing volume ratios, support-vector machine models and feed-forward artificial neural networks were trained to predict, respectively, the liposome dispersity/stability and size. This work presents an initial step towards the application and cultivation of ML models to instruct the microfluidic formulation of nanoparticles."
Mattix B.; Olsen T.R.; Moore T.; Casco M.; Simionescu D.; Visconti R.P.; Alexis F.,"Mattix, Brandon (55872489200); Olsen, Timothy R. (55872511600); Moore, Thomas (36542652400); Casco, Megan (55872734700); Simionescu, Dan (6701449355); Visconti, Richard P. (7003391924); Alexis, Frank (55893790300)",55872489200; 55872511600; 36542652400; 55872734700; 6701449355; 7003391924; 55893790300,Accelerated iron oxide nanoparticle degradation mediated by polyester encapsulation within cellular spheroids,2014,Advanced Functional Materials,24,6,,800,807,7,14,10.1002/adfm.201301736,Article,Final,Scopus,0,0,"Nanomaterials including gold nanoparticles, polymeric nanoparticles, and magnetic iron oxide nanoparticles are utilized in tissue engineering for imaging, drug delivery, and maturation. Prolonged presence of these nanomaterials within biological systems remains a concern due to potential adverse affects on cell viability and phenotype. Accelerating nanomaterial degradation within biological systems is expected to reduce the potential adverse effects in the tissue. Similar to biodegradable polymeric scaffolds, the ideal nanomaterial remains stable for sufficient time to accomplish its desired task, and then rapidly degrades once that task is completed. Here, surface modifications are reported to accelerate iron oxide MNP degradation mediated by polymer encapsulation, in which iodegradable coatings composed of FDA approved polymers with different degradation rates are used: poly(lactide) (PLA) or copolymer poly(lactide-co-glycolide) (PLGA). Results demonstrate that degradation of MNPs can be controlled by varying the content and composition of the polymeric nanoparticles used for MNP encapsulation (PolyMNPs). Incorporated into cellular spheroids, PolyMNPs maintain a high viability compared to non-coated MNPs, and are also useful in magnetically patterning cellular spheroids into fused tissues for tissue engineering applications. Accelerated degradation compared to non-coated MNPs makes PolyMNPs a viable alternative for removing nanomaterials from tissues after accomplishing their desired role."
Fong W.-K.; Moore T.L.; Balog S.; Vanhecke D.; Rodriguez-Lorenzo L.; Rothen-Rutishauser B.; Lattuada M.; Petri-Fink A.,"Fong, Wye-Khay (26636946800); Moore, Thomas L. (36542652400); Balog, Sandor (25930729100); Vanhecke, Dimitri (6602708451); Rodriguez-Lorenzo, Laura (26433883400); Rothen-Rutishauser, Barbara (6603722624); Lattuada, Marco (57132389600); Petri-Fink, Alke (12799294600)",26636946800; 36542652400; 25930729100; 6602708451; 26433883400; 6603722624; 57132389600; 12799294600,"Nanoparticle behaviour in complex media: Methods for characterizing physicochemical properties, evaluating protein corona formation, and implications for biological studies",2019,NanoScience and Technology,,,,101,150,49,13,10.1007/978-3-030-12461-8_5,Book chapter,Final,Scopus,0,0,"The transformation of nanoparticles (NPs) in physiological milieu is a dynamic phenomenon that is the subject of intense investigation. When introduced into the body, NPs can undergo a variety of changes, such as, protein adsorption, dissolution, agglomeration/aggregation, structural deformities and redox reactions. It is these changes that subsequently determine the uptake, bioavailability, translocation and fate of NPs, which ultimately determine their therapeutic efficiency, diagnostic efficacy or toxicity. This chapter will consider the colloidal interactions at the interface of NPs with the contents of biological milieu, the practical and theoretical considerations required to modify analytical and imaging techniques to detect and, if possible, quantify NPs in this complex environment, and the requirement for a highly interdisciplinary approach to understand the behaviour at the bio-nano interface."
Fragassi A.; Greco A.; Di Francesco M.; Ceseracciu L.; Abu Ammar A.; Dvir I.; Moore T.L.; Kasem H.; Decuzzi P.,"Fragassi, Agnese (57475277400); Greco, Antonietta (57212313469); Di Francesco, Martina (56800385300); Ceseracciu, Luca (8545961300); Abu Ammar, Aiman (58259923700); Dvir, Israel (58245015500); Moore, Thomas Lee (36542652400); Kasem, Haytam (19337684300); Decuzzi, Paolo (56884263000)",57475277400; 57212313469; 56800385300; 8545961300; 58259923700; 58245015500; 36542652400; 19337684300; 56884263000,Tribological behavior of shape-specific microplate-enriched synovial fluids on a linear two-axis tribometer,2024,Friction,12,3,,539,553,14,1,10.1007/s40544-023-0794-y,Article,Final,Scopus,0,0,"Nano- and micro-particles are being increasingly used to tune interfacial frictional properties in diverse applications, from friction modifiers in industrial lubrication to enhanced biological fluids in human osteoarthritic joints. Here, we assessed the tribological properties of a simulated synovial fluid enriched with non-spherical, poly lactic-co-glycolic acid (PLGA) microparticles (µPL) that have been previously demonstrated for the pharmacological management of osteoarthritis (OA). Three different µPL configurations were fabricated presenting a 20 µm × 20 µm square base and a thickness of 5 µm (thin, 5H µPL), 10 µm (10H µPL), and 20 µm (cubical, 20H µPL). After extensive morphological and physicochemical characterizations, the apparent Young’s modulus of the µPL was quantified under compressive loading returning an average value of ∼ 6 kPa, independently of the particle morphology. Then, using a linear two-axis tribometer, the static (µs) and dynamic (µd) friction coefficients of the µPL-enriched simulated synovial fluid were determined in terms of particle configuration and concentration, varying from 0 (fluid only) to 6µ105 µPL/mL. The particle morphology had a modest influence on friction, possibly because the µPL were fully squeezed between two mating surfaces by a 5.8 N normal load realizing boundary-like lubrication conditions. Differently, friction was observed to depend on the dimensionless parameter Ω, defined as the ratio between the total volume of the µPL enriching the simulated synovial fluid and the volume of the fluid itself. Both coefficients of friction were documented to grow with Ω reaching a plateau of µs ∼ 0.4 and µd ∼ 0.15, already at Ω ∼ 2×10−3. Future investigations will have to systematically analyze the effect of sliding velocity, normal load, and rigidity of the mating surfaces to elucidate in full the tribological behavior of µPL in the context of osteoarthritis."
Moore T.L.; Podilakrishna R.; Rao A.; Alexis F.,"Moore, Thomas L. (36542652400); Podilakrishna, Rama (56060839700); Rao, Apparao (7404473577); Alexis, Frank (55893790300)",36542652400; 56060839700; 7404473577; 55893790300,Systemic administration of polymer-coated nano-graphene to deliver drugs to glioblastoma,2014,Particle and Particle Systems Characterization,31,8,,886,894,8,37,10.1002/ppsc.201300379,Article,Final,Scopus,1,0,"Graphene—2D carbon—has received significant attention thanks to its electronic, thermal, and mechanical properties. Recently, nano-graphene (nGr) has been investigated as a possible platform for biomedical applications. Here, a polymer-coated nGr to deliver drugs to glioblastoma after systemic administration is reported. A biodegradable, biocompatible poly(lactide) (PLA) coating enables encapsulation and controlled release of the hydrophobic anticancer drug paclitaxel (PTX), and a hydrophilic poly(ethylene glycol) (PEG) shell increases the solubility of the nGr drug delivery system. Importantly, the polymer coating mediates the interaction of nGr with U-138 glioblastoma cells and decreases cytotoxicity compared with pristine untreated nGr. PLA-PEG-coated nGr is also able to encapsulate PTX at 4.15 wt% and sustains prolonged PTX release for at least 19 d. PTX-loaded nGr-PLA-PEGs are shown to kill up to 20% of U-138 glioblastoma cells in vitro. Furthermore, nGr-PLA-PEG and CNT-PLA-PEG, two carbon nanomaterials with different shapes, are able to kill U-138 in vitro as well as free PTX at significantly lower doses of drug. Finally, in vivo biodistribution of nGr-PLA-PEG shows accumulation of nGr in intracranial U-138 glioblastoma xenografts and organs of the reticuloendothelial system."
Septiadi D.; Lee A.; Spuch-Calvar M.; Moore T.L.; Spiaggia G.; Abdussalam W.; Rodriguez-Lorenzo L.; Taladriz-Blanco P.; Rothen-Rutishauser B.; Petri-Fink A.,"Septiadi, Dedy (56067608700); Lee, Aaron (57217492234); Spuch-Calvar, Miguel (16204219300); Moore, Thomas Lee (36542652400); Spiaggia, Giovanni (57212476680); Abdussalam, Wildan (54584808900); Rodriguez-Lorenzo, Laura (26433883400); Taladriz-Blanco, Patricia (36060393900); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",56067608700; 57217492234; 16204219300; 36542652400; 57212476680; 54584808900; 26433883400; 36060393900; 6603722624; 12799294600,"Particle Surfaces to Study Macrophage Adherence, Migration, and Clearance",2020,Advanced Functional Materials,30,34,2002630,,,,5,10.1002/adfm.202002630,Article,Final,Scopus,0,0,"Nanoparticle adsorption to substrates pose a unique challenge to understand uptake mechanisms as it involves the organization of complex cytoskeletal components by cells to perform endocytosis/phagocytosis. In particular, it is not well-understood from a cell mechanics perspective how the adhesion of particles on substrate will influence the ease of material clearance. By using a particle model, key contributing factors underlying cell adhesion on nonporous silica particle surfaces, migration and engulfment, are simulated and studied. Following a 24 h incubation period, monocyte-derived macrophages and A549 epithelial cells are able to adhere and remove particles in their local vicinity through induction of adhesive pulling arise from cell traction forces and phagocytic/endocytic mechanisms, in a size-dependent manner. It is observed that such particle-decorated surfaces can be used to address the influence of surface topography on cell behavior. Substrates which presented 480 nm silica particles are able to induce greater development and maturation of focal adhesions, which play an important role in cellular mechanoregulation. Moreover, under a chemotactic influence, in the presence of 30% fetal bovine serum, macrophages are able to uptake the particles and be directed to translocate along a concentration gradient, indicating that local mechanical effects do not substantially impair normal physiological functions."
Chen H.; Sulejmanovic D.; Moore T.; Colvin D.C.; Qi B.; Mefford O.T.; Gore J.C.; Alexis F.; Hwu S.-J.; Anker J.N.,"Chen, Hongyu (37033463000); Sulejmanovic, Dino (24342439300); Moore, Thomas (36542652400); Colvin, Daniel C. (16174182800); Qi, Bin (55249569800); Mefford, O. Thompson (13104879300); Gore, John C. (7202242633); Alexis, Frank (55893790300); Hwu, Shiou-Jyh (7004293587); Anker, Jeffrey N. (6701869998)",37033463000; 24342439300; 36542652400; 16174182800; 55249569800; 13104879300; 7202242633; 55893790300; 7004293587; 6701869998,Iron-loaded magnetic nanocapsules for pH-triggered drug release and MRI imaging,2014,Chemistry of Materials,26,6,,2105,2112,7,80,10.1021/cm404168a,Article,Final,Scopus,0,0,"Magnetic nanocapsules were synthesized for controlled drug release, magnetically assisted delivery, and MRI imaging. These magnetic nanocapsules, consisting of a stable iron nanocore and a mesoporous silica shell, were synthesized by controlled encapsulation of ellipsoidal hematite in silica, partial etching of the hematite core in acid, and reduction of the core by hydrogen. The iron core provided a high saturation magnetization and was stable against oxidation for at least 6 months in air and 1 month in aqueous solution. The hollow space between the iron core and mesoporous silica shell was used to load anticancer drug and a T1-weighted MRI contrast agent (Gd-DTPA). These multifunctional monodispersed magnetic “nanoeyes” were coated by multiple polyelectrolyte layers of biocompatible poly-l-lysine and sodium alginate to control the drug release as a function of pH. We studied pH-controlled release, magnetic hysteresis curves, and T1/T2 MRI contrast of the magnetic nanoeyes. They also served as MRI contrast agents with relaxivities of 8.6 mM–1 s–1 (r1) and 285 mM–1 s–1 (r2)."
Manghnani P.N.; Di Francesco V.; Panella La Capria C.; Schlich M.; Miali M.E.; Moore T.L.; Zunino A.; Duocastella M.; Decuzzi P.,"Manghnani, Purnima N. (57191442081); Di Francesco, Valentina (57214237067); Panella La Capria, Carlo (57287509800); Schlich, Michele (55326009100); Miali, Marco Elvino (57202160092); Moore, Thomas Lee (36542652400); Zunino, Alessandro (57210813021); Duocastella, Marti (13607167700); Decuzzi, Paolo (56884263000)",57191442081; 57214237067; 57287509800; 55326009100; 57202160092; 36542652400; 57210813021; 13607167700; 56884263000,Preparation of anisotropic multiscale micro-hydrogels via two-photon continuous flow lithography,2022,Journal of Colloid and Interface Science,608,,,622,633,11,7,10.1016/j.jcis.2021.09.094,Article,Final,Scopus,0,0,"Polymeric anisotropic soft microparticles show interesting behavior in biological environments and hold promise for drug delivery and biomedical applications. However, self-assembly and substrate-based lithographic techniques are limited by low resolution, batch operation or specific particle geometry and deformability. Two-photon polymerization in microfluidic channels may offer the required resolution to continuously fabricate anisotropic micro-hydrogels in sub-10 µm size-range. Here, a pulsed laser source is used to perform two-photon polymerization under microfluidic flow of a poly(ethylene glycol) diacrylate (PEGDA) solution with the objective of realizing anisotropic micro-hydrogels carrying payloads of various nature, including small molecules and nanoparticles. The fabrication process is described via a reactive-convective-diffusion system of equations, whose solution under proper auxiliary conditions is used to corroborate the experimental observations and sample the configuration space. By tuning the flow velocity, exposure time and pre-polymer composition, anisotropic PEGDA micro-hydrogels are obtained in the 1–10 μm size-range and exhibit an aspect ratio varying from 1 to 5. Furthermore, 200 nm curcumin-loaded poly(lactic-co-glycolic acid) (PLGA) nanoparticles and 100 nm ssRNA-encapsulating lipid nanoparticles were entrapped within square PEGDA micro-hydrogels. The proposed approach could support the fabrication of micro-hydrogels of well-defined morphology, stiffness, and surface properties for the sustained release of therapeutic agents."
Moore T.L.; Hauser D.; Gruber T.; Rothen-Rutishauser B.; Lattuada M.; Petri-Fink A.; Lyck R.,"Moore, Thomas L. (36542652400); Hauser, Daniel (57193355301); Gruber, Thomas (57206040186); Rothen-Rutishauser, Barbara (6603722624); Lattuada, Marco (57132389600); Petri-Fink, Alke (12799294600); Lyck, Ruth (6603193116)",36542652400; 57193355301; 57206040186; 6603722624; 57132389600; 12799294600; 6603193116,Cellular Shuttles: Monocytes/Macrophages Exhibit Transendothelial Transport of Nanoparticles under Physiological Flow,2017,ACS Applied Materials and Interfaces,9,22,,18501,18511,10,31,10.1021/acsami.7b03479,Article,Final,Scopus,1,0,"A major hurdle in the development of biomedical nanoparticles (NP) is understanding how they interact with complex biological systems and navigate biological barriers to arrive at pathological targets. It is becoming increasingly evident that merely controlling particle physicochemical properties may not be sufficient to mediate particle biodistribution in dynamic environments. Thus, researchers are increasingly turning toward more complex but likewise more physiological in vitro systems to study particle–-cell/particle–system interactions. An emerging paradigm is to utilize naturally migratory cells to act as so-called “Trojan horses” or cellular shuttles. We report here the use of monocytes/macrophages to transport NP across a confluent endothelial cell layer using a microfluidic in vitro model. With a custom-built flow chamber, we showed that physiological shear stress, when compared to low flow or static conditions, increased NP uptake by macrophages. We further provided a mathematical explanation for the effect of flow on NP uptake, namely that the physical exposure times of NP to cells is dictated by shear stress (i.e., flow rate) and results in increased particle uptake under flow. This study was extended to a multicellular, hydrodynamic in vitro model. Because monocytes are cells that naturally translocate across biological barriers, we utilized a monocyte/macrophage cell line as cellular NP transporters across an endothelial layer. In this exploratory study, we showed that monocyte/macrophage cells adhere to an endothelial layer and dynamically interact with the endothelial cells. The monocytes/macrophages took up NP and diapedesed across the endothelial layer with NP accumulating within the cellular uropod. These data illustrate that monocytes/macrophages may therefore act as active shuttles to deliver particles across endothelial barriers."
Chen H.; Wang F.; Moore T.L.; Qi B.; Sulejmanovic D.; Hwu S.-J.; Mefford O.T.; Alexis F.; Anker J.N.,"Chen, Hongyu (37033463000); Wang, Fenglin (55990825900); Moore, Thomas L. (36542652400); Qi, Bin (55249569800); Sulejmanovic, Dino (24342439300); Hwu, Shiou-Jyh (7004293587); Mefford, O. Thompson (13104879300); Alexis, Frank (55893790300); Anker, Jeffrey N. (6701869998)",37033463000; 55990825900; 36542652400; 55249569800; 24342439300; 7004293587; 13104879300; 55893790300; 6701869998,Bright X-ray and up-conversion nanophosphors annealed using encapsulated sintering agents for bioimaging applications,2017,Journal of Materials Chemistry B,5,27,,5412,5424,12,19,10.1039/c7tb01289f,Article,Final,Scopus,0,0,"Nanophosphors are promising contrast agents for deep tissue optical imaging applications because they can be excited by X-ray or near infrared light through tissue without background interference. For these bioimaging applications, the nanophosphors should ideally be small, monodispersed and brightly luminescent. However, most methods used to improve luminescence yield by annealing the particles to reduce crystal and surface defects (e.g. using flux or sintering agents) also cause particle fusion or require multiple component core–shell structures. Here, we report a novel method to prepare bright, uniformly sized X-ray nanophosphors (Gd2O2S:Eu or Tb) and upconversion nanophosphors (Y2O2S:Yb/Er, or Yb/Tm) with large crystal domain size without causing aggregation. A core–shell nanoparticle is formed, with NaF only in the core. We observe that increasing the NaF sintering agent concentration up to 7.6 mol% increases both crystal domain size and luminescence intensity (up to 40% of commercial microphosphors) without affecting the physical particle diameter. Above 7.6 mol%, particle fusion is observed. The annealing is insensitive to the cation (Na+ or K+) but varies strongly with anion, with F− > Cl− > CO32− > Br− > I−. The luminescence depends strongly on crystal domain size. The data agree reasonably well with a simple domain surface quenching model, although the size-dependence suggests additional quenching mechanisms within small domains. The prepared bright nanophosphors were subsequently functionalized with PEG–folic acid to target MCF-7 breast cancer cells which overexpress folic acid receptors. Both X-ray and upconversion nanophosphors provided low background and bright luminescence which was imaged through 1 cm chicken breast tissue at a low dose of nanophosphors 200 μL (0.1 mg mL−1). We anticipate these highly monodispersed and bright X-ray and upconversion nanophosphors will have significant potential for tumor targeted imaging."
Kinnear C.; Moore T.L.; Rodriguez-Lorenzo L.; Rothen-Rutishauser B.; Petri-Fink A.,"Kinnear, Calum (55585286700); Moore, Thomas L. (36542652400); Rodriguez-Lorenzo, Laura (26433883400); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",55585286700; 36542652400; 26433883400; 6603722624; 12799294600,Form Follows Function: Nanoparticle Shape and Its Implications for Nanomedicine,2017,Chemical Reviews,117,17,,11476,11521,45,503,10.1021/acs.chemrev.7b00194,Review,Final,Scopus,0,0,"This review is a comprehensive description of the past decade of research into understanding how the geometry and size of nanoparticles affect their interaction with biological systems: from single cells to whole organisms. Recently, there has been a great deal of effort to use both the shape and the size of nanoparticles to target specific cellular uptake mechanisms, biodistribution patterns, and pharmacokinetics. While the successes of spherical lipid-based nanoparticles have heralded marked changes in chemotherapy worldwide, the history of asbestos-induced lung disease casts a long shadow over fibrous materials to date. The impact of particle morphology is known to be intertwined with many physicochemical parameters, namely, size, elasticity, surface chemistry, and biopersistence. In this review, we first highlight some of the morphologies observed in nature as well as shapes available to us through synthetic strategies. Following this we discuss attempts to understand the cellular uptake of nanoparticles through various theoretical models before comparing this with observations from in vitro and in vivo experiments. In addition, we consider the impact of nanoparticle shape at different size regimes on targeting, cytotoxicity, and cellular mechanics."
Septiadi D.; Crippa F.; Moore T.L.; Rothen-Rutishauser B.; Petri-Fink A.,"Septiadi, Dedy (56067608700); Crippa, Federica (57190182650); Moore, Thomas Lee (36542652400); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",56067608700; 57190182650; 36542652400; 6603722624; 12799294600,Nanoparticle–Cell Interaction: A Cell Mechanics Perspective,2018,Advanced Materials,30,19,1704463,,,,91,10.1002/adma.201704463,Review,Final,Scopus,1,0,"Progress in the field of nanoparticles has enabled the rapid development of multiple products and technologies; however, some nanoparticles can pose both a threat to the environment and human health. To enable their safe implementation, a comprehensive knowledge of nanoparticles and their biological interactions is needed. In vitro and in vivo toxicity tests have been considered the gold standard to evaluate nanoparticle safety, but it is becoming necessary to understand the impact of nanosystems on cell mechanics. Here, the interaction between particles and cells, from the point of view of cell mechanics (i.e., bionanomechanics), is highlighted and put in perspective. Specifically, the ability of intracellular and extracellular nanoparticles to impair cell adhesion, cytoskeletal organization, stiffness, and migration are discussed. Furthermore, the development of cutting-edge, nanotechnology-driven tools based on the use of particles allowing the determination of cell mechanics is emphasized. These include traction force microscopy, colloidal probe atomic force microscopy, optical tweezers, magnetic manipulation, and particle tracking microrheology."
